time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.598150504848984e-08,1.3421356351127977e-07,10.006330144383686,6.282734960081008,8.542092494501219e-05,0.0,-8.09329891150811e-06,-1.3293004740059443e-05,0.21098882022510038,-0.03003501223772894,0.004129191754239711,0.0,470.1481354299211,470.46786612777134,472.45321153296254,470.1322577726251
0.12000000000000001,-3.1187366882470486e-06,-1.5854870802025988e-05,10.02061234575306,6.28064968058999,0.0003542777389746732,0.0,-0.00011759901624437402,-0.0007025941938982804,0.2650728788628699,-0.046431956772049345,0.005175370831057829,0.0,423.50113770054526,423.5910167047559,421.4334921082736,420.0134147469176
0.18,-1.9905109145094828e-05,-0.00012664400613106603,10.041505981713385,6.278243745978486,0.000999630140882779,0.0,-0.0004974366794269066,-0.003277920196952269,0.43133195970873395,-0.029753822889217983,0.020068530547345313,0.0,456.698988739361,457.88503302692953,457.1204917841526,458.4465369018729
0.23999999999999996,-7.522008643016064e-05,-0.00043326633068602264,10.070631274819375,6.2767071913429255,0.001944075674756185,0.0,-0.001459108834817356,-0.007112901303475505,0.5394646290803059,-0.01839612487417488,0.0052576158452018315,0.0,440.99758393423696,439.77259908999747,438.52153642207657,439.4636758022723
0.3,-0.00020640477406245138,-0.0010045020851170395,10.107007406155544,6.275894459973561,0.0024946239464744835,0.0,-0.0029609305700782616,-0.012028804965602428,0.6730026116719567,-0.005278528103892406,0.016042923448334745,0.0,446.85223971017865,447.73033616474413,447.6626371796714,448.72869979066115
0.36000000000000004,-0.00043290140614888803,-0.0018607961150512722,10.148027438875726,6.275344044535334,0.003320897218975105,0.0,-0.004670138326104574,-0.01655212518990963,0.6943183991129325,-0.018398081757357236,0.008789551930899893,0.0,412.9913332148307,412.35106847409594,411.2321297113271,410.0686212603484
0.4200000000000001,-0.0007820058758453973,-0.0030131990224988615,10.191832203342345,6.273811485295965,0.0047145040666496385,0.0,-0.007069748229429625,-0.021983491761235083,0.765793390160045,-0.0463308834752158,0.04258273891676979,0.0,426.7561454948749,429.63064542636374,429.53499942526076,427.1596253047794
0.48000000000000015,-0.0013270527506850734,-0.004562453045062086,10.243422164709703,6.271196513564529,0.007250464262241074,0.0,-0.011390571728236331,-0.02996663343279676,0.9537289245444642,-0.03858795029889503,0.041625069188722746,0.0,464.8528475187557,464.77869211271366,464.07970456159467,464.6859963013778
0.5400000000000001,-0.0022016758863309086,-0.006667766659967191,10.307744007260386,6.268993404215422,0.009945186311830057,0.0,-0.01807995717823472,-0.04048356137746445,1.1901103085795774,-0.03322047416379068,0.05078493528881656,0.0,479.30735617225463,480.00389240899926,478.4924749806963,478.9003451557432
0.6000000000000002,-0.003505368743516836,-0.009399701924432858,10.382304026361599,6.267164642856626,0.013149538150853068,0.0,-0.025696916274892238,-0.050775124023869224,1.2951035303808986,-0.02549536619594039,0.05818899643400279,0.0,440.2399784264453,440.8540166375541,439.017755590062,439.6578677788699
0.6600000000000003,-0.0054099711437476964,-0.012874885761209027,10.468635952369038,6.265540841629267,0.016741696728030497,0.0,-0.038244615367138704,-0.06526279870958192,1.5822647115841217,-0.03039926683129578,0.06303300133754978,0.0,495.014941879081,495.3733551126814,493.8001568425854,493.43821590532735
0.7200000000000003,-0.008029914441143753,-0.017125878866413303,10.564558252136386,6.263879512290378,0.02015943674377496,0.0,-0.049421324916235805,-0.07659611941835935,1.6150896571113407,-0.022755624969905727,0.04065331912710779,0.0,418.6574462191115,416.70817580456594,417.2576420587852,417.9240923043687
0.7800000000000004,-0.011410295223309047,-0.022115658743521185,10.66393981737658,6.262373164689819,0.0225451974466937,0.0,-0.06349551352002934,-0.08986984804802585,1.6975013915519919,-0.030276866362062515,0.037919600665233144,0.0,433.2946968332618,433.0656804954222,435.05479771342357,434.42451342934817
0.8400000000000004,-0.01573963167960609,-0.027984846445019224,10.7707323283967,6.26132435601564,0.02509909564674473,0.0,-0.08108077846870677,-0.1059155624243408,1.861984665994679,0.0003134952773356462,0.0505284827129366,0.0,459.40639151058275,460.4059064446547,458.46952616281953,460.89339580858166
0.9000000000000005,-0.021245337950278147,-0.03488550955578631,10.889743713729167,6.261090788426472,0.028365858754543893,0.0,-0.10282111271848814,-0.12410867307461786,2.1046348480978776,-0.014017380451560892,0.061309790064924874,0.0,482.5807577153475,483.39552081277867,484.3898278548074,483.3110706255173
0.9600000000000005,-0.028166171731514995,-0.04290772735587174,11.02422608152533,6.26033543373358,0.031835547309531975,0.0,-0.12831557395726323,-0.14338851263555072,2.3775657705424917,-0.009875938528274637,0.04975551339985705,0.0,493.52857491825057,492.6770089818589,492.61186296353475,492.9181300601088
1.0200000000000005,-0.036515256623684995,-0.051971825965970525,11.169274646258264,6.259781146546931,0.034996404109352675,0.0,-0.15028677236697174,-0.15880113255915052,2.4572043152625116,-0.007992046495074035,0.057967745423233,0.0,436.09475680938914,436.7820160426027,435.6468381784977,435.80444803313554
1.0800000000000005,-0.04633223570305608,-0.06202722019410169,11.321468239566956,6.259091959926192,0.03848778255047236,0.0,-0.17731915973660115,-0.17643396879151932,2.6155474400438257,-0.019597555169735992,0.05862959421752213,0.0,460.9228318342005,460.9773515488874,461.38853422999085,460.47150869288697
